label,location,loc1_vall,loc2_vall,loc3_vall,loc4_vall,loc5_vall,season,spring,summer,fall,winter,after_storm,land_use,developed,agriculture,forest,"r(6, 10, 0, 5, 0)","r(6, 8, 0, 4, 0)","r(1, 2, 0, 1, 0)","r(8, 11, 1, 2, 0)","r(1, 2, 0, 0, 0)","r(2, 2, 0, 1, 0)","r(2, 4, 0, 1, 0)","r(3, 6, 0, 1, 0)","r(8, 8, 0, 0, 0)","r(10, 8, 0, 4, 0)","r(5, 8, 0, 0, 0)","r(1, 0, 0, 2, 0)","r(0, 2, 0, 1, 0)","r(0, 3, 1, 0, 0)","r(0, 2, 0, 0, 1)","r(0, 2, 0, 0, 0)","r(0, -2, 0, 1, 0)","r(0, -2, 0, 2, 0)","r(0, 0, 0, 1, 0)","r(0, 1, 1, 0, 0)","r(0, 0, 0, 0, 1)","r(9, 8, 0, 2, 0)","r(6, 4, 0, 1, 0)","r(9, 10, 0, 3, 0)","r(7, 2, 0, 3, 0)","r(6, 4, 0, 3, 0)","r(7, 6, 0, 2, 0)","r(8, 8, 0, 3, 0)","r(0, 0, 0, 3, 1)","r(0, -2, 0, 2, 1)"
DOM_24,3,0,0,1,0,0,3,0,0,1,0,0,2,0,1,0,0.183383792,0.066482915,-0.182034788,-0.068734868,-0.461715307,-0.023378734,0.084133329,0.172689868,0.127326584,0.00449889,0.040010332,-0.069733106,-0.194487873,-0.030354399,0.25435532,-0.495581925,-0.277544557,-0.196661949,-0.398619109,0.004519849,0.011305431,-0.019802533,-0.010731601,-0.09080993,0.022768987,0.041675855,-0.088634969,-0.084747599,-0.019761035,0.001067899
DOM_25,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,1,0.081940049,-0.054638077,-0.374738094,-0.125447414,-0.531399608,-0.235815247,-0.161523485,-0.054621912,-0.027119326,-0.016903883,-0.162086693,-0.11140021,-0.434936852,-0.076333598,0.018366117,-0.74262061,-0.508937042,-0.285609187,-0.522606059,0.172180772,-0.015610495,-0.053327932,0.02034092,-0.021742885,0.032871274,-0.041005465,-0.041501576,-0.015234408,-0.056891028,-0.003539176
DOM_26,4,0,0,0,1,0,4,0,0,0,1,1,3,0,0,1,0.05221709,0.023480765,-0.342071296,-0.028948461,-0.528601212,-0.096037856,-0.003989017,0.212742607,-0.015517463,0.061806367,0.040810707,0.011321906,-0.428708527,0.125329508,0.157033292,-0.822406608,-0.465052468,-0.205427294,-0.512660952,-0.094540555,0.060557175,0.008477901,0.137078711,-0.06576473,-0.073173517,-0.077469387,0.003899917,-0.079824098,0.055986991,-0.033715534
DOM_27,4,0,0,0,1,0,1,1,0,0,0,0,3,0,0,1,0.071849008,-0.01267959,-0.340288732,-0.032297214,-0.451671897,-0.114261641,-0.031759808,-0.019863395,-0.057586341,-0.076860546,0.054252069,-0.043725288,-0.351949104,0.259111729,0.034566128,-0.698137286,-0.451126328,-0.196782717,-0.466640911,-0.019338614,-0.054363745,-0.000703338,-0.024948337,0.035254009,0.035910316,0.025077784,-0.016831887,0.016793847,0.01703466,-0.015881046
DOM_28,4,0,0,0,1,0,1,1,0,0,0,1,3,0,0,1,0.15916699,0.04598791,-0.155455845,0.022830786,-0.27934472,0.048244254,0.039698203,0.126310124,0.109203781,0.036441479,0.025458566,0.078369379,-0.181477975,0.086092919,0.042834727,-0.477598688,-0.257026236,-0.027403853,-0.294081773,-0.048156538,0.073840595,0.071610499,0.103178276,0.100635303,0.041336011,0.076062816,-0.051801182,0.161775753,0.032724782,0.224242063
DOM_29,4,0,0,0,1,0,2,0,1,0,0,0,3,0,0,1,0.023373334,0.134236976,0.444869691,-0.030988991,1.104062281,0.023595832,0.831330902,0.299132949,0.086197807,-0.02431558,0.36299191,0.042375811,0.059726585,-0.01928066,0.387664368,-0.077286181,0.224307673,0.117039174,0.113875511,0.434854226,0.896930717,-0.022253042,0.048927052,0.464211467,-0.016253472,0.614135304,0.459907961,0.033918832,0.096334863,0.50121666
DOM_30,4,0,0,0,1,0,2,0,1,0,0,1,3,0,0,1,-0.034381721,-0.054709642,0.008355966,-0.032271623,0.127420814,-0.064932706,-0.12674421,-0.127099921,-0.05913774,-0.118258009,-0.064309611,0.034277064,0.09738211,-0.121169235,0.430548029,0.164542384,0.027465963,-0.019893733,-0.075602327,-0.14827145,-0.124018586,-0.044996469,0.10975091,-0.13803136,0.014398605,-0.14641687,-0.109431903,-0.065604492,-0.136592246,-0.166800616
DOM_31,4,0,0,0,1,0,3,0,0,1,0,1,3,0,0,1,-0.046297543,-0.110398997,-0.386708186,-0.000934014,-0.538288214,-0.191501578,-0.080720801,-0.049981611,-0.065211408,-0.087951843,-0.059540195,-0.073548823,-0.481026316,-0.147673044,0.075357744,-0.846193738,-0.476790677,-0.24558727,-0.537487632,-0.10847947,0.071904026,-0.054820157,-0.051165303,-0.047523082,-0.082348051,-0.092057105,-0.129094738,-0.081382654,-0.069959294,-0.083104055
DOM_32,4,0,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0.050979591,-0.053243482,-0.370762862,-0.066020079,-0.566406627,-0.155720867,-0.103639068,0.032567779,-0.050435888,-0.199587466,-0.108937388,-0.058091525,-0.42160557,0.112136728,-0.11753772,-0.746396505,-0.525656438,-0.257731997,-0.518443639,-0.119525728,-0.053535659,-0.05776928,-0.020333757,-0.101985298,-0.066265187,-0.215253851,-0.075871268,-0.118962925,-0.056307484,-0.03370136
DOM_33,5,0,0,0,0,1,4,0,0,0,1,0,2,0,1,0,-0.054235541,-0.008040165,0.099849274,-0.014013994,0.01307727,0.052739988,0.089193436,0.048010234,0.013288084,-0.065815589,-0.062582193,0.177685343,-0.14297998,0.826570012,0.109475317,0.770151466,0.026530837,0.141616719,-0.035060126,0.003821884,-0.013943976,-0.062404201,0.043058726,0.022470044,0.097224105,-0.057191587,0.666142718,0.032630212,0.572675769,0.016780003
DOM_34,5,0,0,0,0,1,4,0,0,0,1,1,2,0,1,0,0.034721953,0.149949365,0.061252014,0.078349377,0.149975985,0.116319094,0.054204997,0.065644326,-0.033389079,0.013038897,-0.058634928,0.169553376,-0.050018202,0.049177149,0.013066437,0.541989623,-0.075925092,0.016191147,-0.118533,0.002492672,0.054325083,-0.03996477,0.018366501,-0.036656827,-0.001809093,0.042354373,-0.057710526,-0.061427692,0.081601636,0.004610322
DOM_35,5,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0.088922527,0.101806077,-0.314096545,0.097475114,-0.454932966,-0.187056596,-0.051879534,-0.056413028,0.072337047,-0.001199621,-0.053081726,-0.092603154,-0.335978228,0.089262176,-0.098425697,-0.659866272,-0.42847154,-0.223312146,-0.477629227,0.440687272,-0.006885206,0.005173356,0.063995425,0.106763253,-0.0268312,0.026213976,-0.00544669,-0.109544618,0.023506831,0.043191148
DOM_36,5,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0.076272532,0.207121312,0.172452664,-0.047082038,0.391091836,0.189251167,1.67250971,0.107837705,-0.064059963,0.128845814,-0.037902518,0.049939112,0.171031149,0.126296488,0.155597557,0.139009691,0.063256461,0.313548649,0.060796662,-0.05343279,0.18928109,1.428050045,0.084275379,-0.034094096,-0.02276416,0.364164036,-0.083947537,1.575111091,0.225461227,-0.037655053
DOM_37,5,0,0,0,0,1,2,0,1,0,0,0,2,0,1,0,1.622640338,-0.034018933,0.068048734,-0.054831173,-0.066398913,0.112403305,0.090316496,-0.061359471,-0.061078133,-0.073439604,-0.082074408,0.09119127,0.244196599,0.012481873,0.537608758,0.022321385,-0.078174557,0.025556743,-0.122490285,0.144622127,0.182943459,-0.080718208,-0.072796884,-0.0195509,-0.091116661,-0.034677271,0.538580704,0.677373233,0.05975571,0.021421552
DOM_38,5,0,0,0,0,1,2,0,1,0,0,1,2,0,1,0,-0.063090345,0.140445998,0.040644008,-0.095523395,0.149421392,-0.141898741,0.049301906,-0.090816582,-0.122185952,-0.056880234,-0.045142206,0.034873157,-0.14208435,0.046575791,0.25961109,1.680531612,0.110978643,0.054794499,0.016819986,0.043059477,0.279547644,0.11359209,-0.048646895,0.072702013,-0.106659127,0.028939734,0.196462077,-0.036753976,0.076135367,0.02027082
DOM_39,5,0,0,0,0,1,3,0,0,1,0,1,2,0,1,0,0.025298974,0.124349381,-0.119877446,0.034210253,-0.274499025,-0.065598098,-0.012565838,0.073122548,0.029069154,0.017404853,0.034648269,0.077359317,-0.294922175,-0.032774185,0.059862905,-0.57705646,-0.3039315,0.103475987,-0.225856161,-0.037135518,0.081964941,0.008721866,0.094377142,0.07029257,0.05428965,0.047160016,0.12613155,0.098497656,0.053754781,0.055122912
DOM_40,5,0,0,0,0,1,3,0,0,1,0,0,2,0,1,0,-0.018084457,0.072368118,0.002619152,0.038115713,0.094113883,0.146952008,0.145813325,0.025065132,0.182989494,0.072920663,0.003129719,0.087104514,-0.106243858,0.025437297,0.305783085,0.16971088,0.064958473,0.110747332,0.222769426,-0.033204926,0.058334486,0.196083699,0.186671489,0.033618241,0.138423936,0.187667866,0.045754517,0.016059826,0.225375507,-0.056218751
