Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C16H20,3814095.47,1.40594E-05,-0.014059425,-0.066269123
C17H22,5455678.779,2.64292E-05,-0.026429165,-0.116854195
C18H24,7098188.401,1.92846E-05,-0.019284563,-0.08028952
C19H26,7816297.243,2.48289E-06,-0.002482885,-0.009767314
C20H28,9546661.005,1.20734E-05,-0.01207345,-0.045013386
C21H30,10798264.41,3.6675E-05,-0.036674961,-0.129944882
C22H32,15682991.41,2.74296E-05,-0.027429602,-0.092589249
C23H34,20117514.54,8.55068E-06,-0.008550682,-0.027559195
C24H36,29037505.2,3.35283E-05,0.033528329,0.103392601
C25H38,41033511.8,6.50814E-05,0.065081387,0.19237924
C26H40,44719640.69,2.61605E-05,0.02616052,0.074253632
C27H42,59267949.25,5.78006E-05,-0.057800557,-0.157783337
C28H44,80846816.69,2.526E-05,-0.025260038,-0.066413609
C29H46,106934554.1,9.07974E-05,0.090797375,0.230239847
C30H48,102359944.1,4.08734E-05,-0.040873365,-0.100087675
C31H50,95648732.09,2.96973E-05,0.029697297,0.070307557
C32H52,104235455.8,2.10491E-05,0.021049085,0.048232704
C33H54,116069938,0.000131478,0.131478218,0.291899724
C34H56,111543642,9.26368E-05,-0.092636835,-0.19945998
C35H58,110194650.1,3.12549E-05,0.031254867,0.065324726
C36H60,102133663.1,8.48116E-05,0.084811566,0.17221689
C37H62,102897870.2,0.000113935,0.113934863,0.22495203
C38H64,88064481.16,0.000101477,-0.101476597,-0.194959541
C39H66,87534636.26,0.000113085,-0.113084791,-0.211564659
C40H68,92047824.23,4.62285E-05,-0.046228534,-0.084276806
C41H70,72338778.96,1.55056E-05,-0.015505582,-0.027563139
C42H72,64956362.8,0.00015607,-0.156070178,-0.2706904
C43H74,60504976.62,5.65518E-05,-0.056551761,-0.095756463
C44H76,58900097.27,0.000163143,0.163143096,0.269838778
C45H78,48643062.96,0.000114933,0.114932872,0.185792028
C46H80,42506475.03,0.000191769,0.191768517,0.303130944
C47H82,39394942.62,0.000139603,-0.139602626,-0.215888701
C48H84,33838927.01,0.000178066,0.178066418,0.269529176
C49H86,29370918.67,8.36767E-05,0.083676677,0.124025539
C50H88,28739188.18,3.76905E-05,-0.037690471,-0.054727885
C51H90,22880721.22,9.71072E-05,0.097107229,0.138190751
C52H92,19075415.14,0.000274055,-0.27405498,-0.382373894
C53H94,16622811.1,0.000111745,-0.11174537,-0.152921764
C54H96,14748308.26,0.00024621,-0.246209693,-0.330593212
C55H98,12989563.59,0.000362684,0.362683703,0.477990968
C56H100,13621520.81,0.000293376,0.293376058,0.379636
C58H104,9919497.65,0.000192382,-0.192381964,-0.240233077
C62H112,5929219.687,0.000204449,0.204449263,0.238598311
C63H114,7208104.259,0.000415486,-0.415486308,-0.477081294
C64H116,5485533.731,0.000370551,-0.370551125,-0.418745507
C65H118,4748662.846,3.16823E-05,0.031682298,0.035244716
C66H120,4571938.18,0.000212042,0.212042449,0.232263544
C67H122,4557284.29,0.000130904,-0.130904444,-0.1412199
C68H124,3667236.287,1.17298E-05,0.011729826,0.012465671
C70H128,3490215.455,0.000114648,-0.114647777,-0.118315363
C73H134,3097740.901,7.01394E-05,0.07013937,0.0693729
C74H136,3405219.39,0.000289974,0.289973922,0.282883667
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H12,15112358.45,3.24408E-05,0.032440847,0.192992408
C14H14,47966349.16,1.312E-05,0.013119971,0.072044389
C15H16,10681828.07,6.85494E-06,-0.006854939,-0.034951853
C16H18,2126478.999,2.10698E-05,-0.021069754,-0.100264912
C17H20,3936823.666,2.61811E-05,-0.026181135,-0.116798466
C18H22,6627903.78,2.60043E-05,-0.026004311,-0.109182835
C19H24,9293913.062,2.09431E-05,-0.020943071,-0.083045536
C20H26,12696433.6,2.89789E-05,-0.028978894,-0.10885995
C21H28,18189901.56,8.85674E-06,0.008856743,0.031606493
C22H30,20634827.03,7.43133E-06,-0.007431329,-0.025256462
C23H32,29769587.88,1.08705E-05,-0.010870477,-0.035265085
C24H34,34187198.81,3.91693E-05,-0.039169259,-0.121543237
C25H36,46678038.13,2.93848E-05,-0.029384802,-0.087381508
C26H38,62408981.93,4.33225E-05,-0.043322498,-0.123673496
C27H40,91857134.27,8.84651E-05,0.088465115,0.242827225
C28H42,88596132.25,5.32197E-05,-0.053219672,-0.140670478
C29H44,112803587.9,0.000115333,0.115332866,0.293958305
C30H46,115931784.7,0.000124812,0.124812481,0.307147592
C31H48,121497108.9,0.000133134,0.133133572,0.316701473
C32H50,120021770.5,6.2771E-05,-0.062770972,-0.144503305
C33H52,128516346.1,0.000176009,0.176008955,0.392520621
C34H54,118474719,6.97094E-05,0.069709437,0.15074835
C35H56,98899417.15,0.000150056,-0.150056061,-0.314953882
C36H58,111404910,4.13223E-05,0.041322273,0.084253131
C37H60,107091396,3.03043E-05,-0.030304332,-0.060071684
C38H62,92524244.1,0.000127676,0.127675923,0.246247983
C39H64,97003633.95,0.00010966,0.109659702,0.205933403
