Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C37H60,9509535.985,1.67731E-05,-0.016773145,-0.033249076
C38H62,8572712.731,5.97123E-05,0.05971227,0.115166788
C39H64,8431255.934,6.20166E-05,0.062016553,0.116462834
C40H66,9534700.301,1.24301E-05,-0.012430141,-0.022744313
C41H68,8423299.847,1.82207E-05,0.01822068,0.032506043
C42H70,6936825.6,2.40005E-05,-0.024000523,-0.041772895
C43H72,5894175.193,2.50874E-05,-0.02508743,-0.042624856
C44H74,4453281.883,5.77225E-05,-0.057722473,-0.095792365
C45H76,4163335.37,2.88002E-05,-0.028800186,-0.046708456
C46H78,4537782.879,2.61772E-05,-0.026177232,-0.041510946
C47H80,3360090.385,1.87225E-05,0.018722512,0.029043991
C48H82,3033629.251,1.0476E-05,0.010475979,0.01590543
C49H84,2655638.802,9.83505E-06,-0.009835046,-0.014621183
C50H86,2339728.016,8.7529E-06,0.008752902,0.012746828
C51H88,2751603.138,5.17857E-05,-0.051785694,-0.073906859
C52H90,2493318.246,7.46741E-05,-0.074674138,-0.104482571
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H10,10652193.08,1.68875E-05,-0.016887549,-0.101684288
C14H12,3618366.967,2.02096E-05,-0.020209619,-0.112217122
C17H18,2360570.831,1.15627E-05,-0.011562651,-0.05205099
C18H20,4734664.332,6.2189E-06,-0.006218904,-0.026333824
C19H22,4902362.651,4.47618E-06,-0.004476177,-0.017892387
C20H24,6773089.073,2.36868E-06,-0.002368683,-0.008965905
C21H26,8014679.585,1.26273E-05,-0.012627333,-0.045388844
C22H28,10255134.82,2.16333E-05,0.021633297,0.074031084
C23H30,9415138.444,1.1218E-05,0.011217993,0.036632006
C24H32,10606085.27,1.75775E-05,0.017577492,0.054886712
C25H34,14326869.63,4.58034E-05,0.045803407,0.137026799
C26H36,14603814.31,1.98158E-05,0.019815762,0.056895788
C27H38,17624235.5,4.66915E-06,-0.004669149,-0.012887615
C28H40,21323615.91,3.28749E-05,0.032874863,0.087360424
C29H42,23091807.57,3.93946E-05,0.039394633,0.10092683
C30H44,16318087.57,2.13478E-05,-0.021347819,-0.052796143
C31H46,16367852,4.87171E-05,0.048717136,0.116447897
C32H48,17373010.72,7.585E-05,0.075850016,0.175426216
C33H50,16486502.44,4.44972E-05,0.044497208,0.099682078
C34H52,16840253.53,5.85314E-05,0.058531429,0.127129781
C35H54,15804191.62,6.01082E-05,0.060108195,0.126697592
C36H56,11453094.8,1.62382E-07,-0.000162382,-0.000332451
C37H58,8729954.566,2.61041E-05,-0.026104114,-0.051953257
C38H60,8794190.132,4.93638E-05,-0.049363804,-0.09557932
C39H62,9114542.338,4.49491E-05,-0.044949065,-0.084731995
C40H64,9299549.081,1.36821E-05,-0.013682132,-0.025127845
C41H66,8160791.312,1.71585E-05,-0.017158525,-0.03072161
C42H68,6296553.267,2.73804E-05,0.027380442,0.047823418
C43H70,5488825.391,8.14309E-06,-0.008143094,-0.013883088
