Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H18,3222299.691,5.46454E-05,0.05464539,0.313799948
C14H20,3549474.068,3.00582E-05,0.030058202,0.15975107
C15H22,3620307.957,3.40439E-06,-0.003404395,-0.016839088
C16H24,6185309.394,9.56825E-06,-0.009568247,-0.04425896
C17H26,6396011.589,1.83482E-05,-0.018348239,-0.079704447
C18H28,8527097.812,1.48993E-05,-0.014899264,-0.061007773
C19H30,9883208.189,4.08376E-05,-0.040837588,-0.158141333
C20H32,9608985.362,2.01445E-05,-0.020144492,-0.073992516
C21H34,11124395.34,2.89885E-05,-0.028988512,-0.101264232
C22H36,18260079.45,3.00184E-05,0.030018422,0.099967536
C23H38,14898731.77,4.59885E-05,-0.045988518,-0.146321683
C24H40,23267389.94,3.08772E-05,0.030877244,0.094048192
C25H42,22578825.11,8.2021E-05,-0.082021,-0.239597239
C26H44,40673753.11,5.1371E-05,0.051370951,0.144161002
C27H46,57345753.16,5.56573E-05,0.055657254,0.150278814
C28H48,54391057.29,0.000128765,-0.128765454,-0.334999031
C29H50,104139440.1,2.95365E-05,-0.029536465,-0.074139341
C30H52,129244559.8,0.000107808,0.107808268,0.261412376
C31H54,115182183,9.76915E-05,-0.097691546,-0.229095636
C32H56,91586650.96,0.000131877,-0.13187748,-0.299423346
C33H58,123373608.3,5.86427E-05,0.05864267,0.129039879
C34H60,114320275.3,0.000159671,-0.159670998,-0.340835417
C35H62,110423906.1,6.43434E-05,-0.064343369,-0.133358236
C36H64,104692277.3,0.00010987,0.109869812,0.221288287
C37H66,84437419.3,0.000115534,-0.115533594,-0.226307289
C38H68,83527919.55,0.00011018,-0.110179778,-0.210053451
C39H70,77793595.59,0.000125677,0.125677496,0.2333637
C40H72,80003168.57,0.000124775,0.124774574,0.22581042
C41H74,56740208.48,0.000158897,-0.158896932,-0.280449712
C42H76,50409223.74,0.000158273,0.158272534,0.272604165
C43H78,44171457.11,0.000129836,-0.129835675,-0.218354212
C44H80,44523592.87,0.000168033,0.168033187,0.276086113
C45H82,35733803.83,0.00016508,-0.165079945,-0.265128336
C46H84,36398218.58,0.000199543,-0.199543092,-0.313423079
C47H86,30442718.58,0.000156806,-0.156806296,-0.240990954
C48H88,25733979.56,9.72733E-05,0.097273334,0.146344218
C49H90,21585605.86,0.000184251,0.184250638,0.271474117
C50H92,19790052.86,0.000211137,-0.211137017,-0.304794211
C51H94,17066097.21,0.000259133,-0.259133445,-0.366662529
C52H96,14087329.85,0.000301699,0.301698771,0.41858934
C53H98,11512868.33,0.000243769,0.24376911,0.331763891
C54H100,11250297.04,0.000114654,0.114654293,0.153120957
C55H102,11027158,9.52714E-05,0.095271376,0.124897229
C56H104,8287287.827,9.91477E-05,-0.099147686,-0.127633785
